,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hilo,1,US,1566874320,58,19.71,-155.08,86.0,9.17
1,Barranca,0,PE,1566874595,88,-10.75,-77.76,58.21,13.51
2,Lapeer,90,US,1566874596,93,43.05,-83.32,66.99,6.93
3,Corrales,100,CO,1566874598,92,5.83,-72.84,45.61,5.06
4,Mumbwa,75,ZM,1566874599,55,-14.99,27.06,65.23,5.88
5,Victoria,75,BN,1566874130,74,5.28,115.24,84.2,6.93
6,Ushuaia,40,AR,1566874166,60,-54.81,-68.31,39.2,11.41
7,Cidreira,100,BR,1566874361,90,-30.17,-50.22,61.63,6.46
8,Qaanaaq,100,GL,1566874604,96,77.48,-69.36,34.45,9.51
9,Playa Vicente,0,MX,1566874605,80,17.83,-95.81,79.99,2.82
10,Mahibadhoo,98,MV,1566874606,74,3.78,72.97,82.51,8.57
11,Cape Town,75,ZA,1566874163,93,-33.93,18.42,54.0,5.82
12,Bondo,100,CD,1566874609,98,3.81,23.69,66.85,0.94
13,Bredasdorp,95,ZA,1566874171,76,-34.53,20.04,51.8,10.29
14,Sao Gabriel da Cachoeira,11,BR,1566874611,72,-0.13,-67.09,77.47,2.35
15,Sao Filipe,1,CV,1566874612,81,14.9,-24.5,79.09,5.1
16,Rikitea,100,PF,1566874401,60,-23.12,-134.97,69.19,7.0
17,Castro,0,CL,1566874389,100,-42.48,-73.76,37.4,5.82
18,Hami,0,CN,1566874615,13,42.84,93.51,85.93,2.57
19,Cartagena,20,ES,1566874617,83,37.63,-1.0,75.2,4.7
20,Pedro II,5,BR,1566874618,48,-4.43,-41.45,72.79,4.16
21,Airai,76,TL,1566874219,44,-8.93,125.41,83.05,5.75
22,Bose,20,IT,1566874621,78,45.46,8.01,73.4,5.82
23,Leningradskiy,100,RU,1566874416,97,69.38,178.42,43.09,8.34
24,Hobart,40,AU,1566873865,44,-42.88,147.33,59.0,21.92
25,Mataura,100,NZ,1566874368,69,-46.19,168.86,54.0,8.01
26,Severo-Kurilsk,100,RU,1566874347,97,50.68,156.12,48.67,13.96
27,Marsa Matruh,0,EG,1566874126,94,31.35,27.25,73.4,7.61
28,The Pas,90,CA,1566874379,87,53.82,-101.24,53.6,13.87
29,Porto Belo,75,BR,1566874628,88,-27.15,-48.54,68.0,1.12
30,Redlands,1,US,1566874572,40,34.06,-117.19,90.0,7.54
31,Karak,0,JO,1566874631,63,31.18,35.7,66.2,3.33
32,East London,100,ZA,1566874600,68,-33.02,27.91,55.87,5.7
33,New Norfolk,40,AU,1566874196,44,-42.78,147.06,59.0,21.92
34,Turayf,0,SA,1566874533,39,31.68,38.65,80.6,13.87
35,Oyama,75,JP,1566874635,69,36.31,139.8,86.0,10.29
36,Souillac,0,FR,1566874637,82,45.6,-0.6,69.8,6.93
37,Xinqing,100,CN,1566874638,94,48.28,129.53,61.63,8.3
38,Codrington,40,AU,1566874639,50,-28.95,153.24,78.01,3.36
39,Povenets,59,RU,1566874640,96,62.85,34.83,47.59,8.03
40,Emporia,20,US,1566874642,94,38.4,-96.18,73.99,9.17
41,Bluff,0,AU,1566874643,30,-23.58,149.07,78.73,8.81
42,Berlevag,100,NO,1566874644,91,70.86,29.09,47.23,17.16
43,Umm Lajj,0,SA,1566874645,77,25.02,37.27,86.65,12.28
44,Nikolskoye,0,RU,1566874647,76,59.7,30.79,57.2,4.47
45,Cabo San Lucas,75,MX,1566874091,78,22.89,-109.91,86.0,12.75
46,Punta Arenas,40,CL,1566874378,71,-53.16,-70.91,32.0,20.8
47,Atuona,0,PF,1566874650,74,-9.8,-139.03,78.19,15.82
48,Tuktoyaktuk,90,CA,1566874240,87,69.44,-133.03,46.4,10.29
49,Deogarh,82,IN,1566874652,81,21.53,84.72,78.37,4.47
50,Mangrol,77,IN,1566874654,79,25.33,76.51,82.69,9.19
51,Alta Floresta,36,BR,1566874655,52,-9.87,-56.08,75.67,1.39
52,Keti Bandar,85,PK,1566874656,82,24.14,67.45,80.35,14.9
53,Espanola,100,CA,1566874657,58,46.27,-81.77,68.0,1.99
54,Xuddur,33,SO,1566874659,79,4.12,43.89,68.29,16.73
55,Kalur Kot,0,PK,1566874660,41,32.16,71.27,91.33,4.54
56,Ha Tinh,100,VN,1566874554,71,18.33,105.9,86.47,1.81
57,Hermanus,67,ZA,1566874149,98,-34.42,19.24,51.01,1.99
58,Saint-Philippe,1,CA,1566874085,93,45.36,-73.48,69.01,3.36
59,Port Moresby,40,PG,1566874664,78,-9.47,147.16,80.6,23.04
60,Kisangani,100,CD,1566874666,95,0.52,25.21,66.67,1.61
61,Dikson,100,RU,1566874667,97,73.51,80.55,40.39,10.2
62,Kapaa,20,US,1566874555,62,22.08,-159.32,89.6,17.22
63,Saskylakh,100,RU,1566874180,53,71.97,114.09,65.05,13.44
64,Tiksi,100,RU,1566873983,96,71.64,128.87,42.55,11.25
65,Vaini,40,IN,1566874382,94,15.34,74.49,69.8,3.36
66,Cherskiy,100,RU,1566874394,72,68.75,161.3,53.53,6.06
67,Mar del Plata,0,AR,1566874080,42,-46.43,-67.52,40.39,19.39
68,Butaritari,31,KI,1566874216,72,3.07,172.79,85.03,11.23
69,Moen,0,BE,1566874676,93,50.77,3.4,71.01,1.12
70,Bar Harbor,1,US,1566874677,93,44.39,-68.2,57.99,1.66
71,Eyl,93,SO,1566874679,71,7.98,49.82,74.41,27.92
72,Aleksandrov Gay,71,RU,1566874680,55,50.14,48.57,59.83,4.12
73,Paita,0,PE,1566874681,91,-5.09,-81.11,60.73,14.81
74,Port Alfred,89,ZA,1566874603,77,-33.59,26.89,61.0,5.99
75,Bathsheba,75,BB,1566874112,88,13.22,-59.52,80.6,25.28
76,Mount Isa,0,AU,1566874685,18,-20.73,139.49,71.6,18.34
77,Three Hills,20,CA,1566874686,50,51.7,-113.27,57.2,8.05
78,Baturaja,55,ID,1566874687,48,-4.12,104.17,88.09,4.63
79,Cap Malheureux,75,MU,1566874688,56,-19.98,57.61,71.01,10.29
80,Tshikapa,0,CD,1566874689,84,-6.42,20.79,69.73,2.66
81,Sweetwater,1,US,1566874691,30,32.47,-100.41,96.8,10.29
82,Pevek,85,RU,1566874175,94,69.7,170.27,40.39,4.85
83,Necochea,100,AR,1566874198,90,-38.55,-58.74,52.0,1.99
84,Tuatapere,74,NZ,1566874694,69,-46.13,167.69,54.0,8.01
85,Sao Joao da Ponte,14,BR,1566874695,72,-15.93,-44.01,64.87,12.64
86,Torbay,90,CA,1566873982,47,47.66,-52.73,57.99,5.82
87,Ixtapa,90,MX,1566874698,74,20.71,-105.21,86.0,7.81
88,Karratha,29,AU,1566874699,18,-20.74,116.85,81.97,15.01
89,Chokurdakh,100,RU,1566874172,80,70.62,147.9,42.01,6.22
90,Goderich,100,CA,1566874228,68,43.74,-81.71,70.0,27.85
91,Saint George,0,GR,1566874061,68,39.45,22.34,71.6,2.1
92,Kormilovka,75,RU,1566874704,87,55.0,74.1,57.2,15.66
93,Glendive,1,US,1566874705,71,47.11,-104.71,62.6,13.87
94,Mitsamiouli,0,KM,1566874194,72,-11.38,43.28,75.49,2.93
95,Geraldton,75,CA,1566873977,67,49.72,-86.95,62.6,12.75
96,Jasper,90,US,1566874708,100,33.83,-87.28,75.2,6.69
97,Vila Velha,75,BR,1566873985,69,-3.71,-38.6,80.6,17.22
98,Grindavik,75,IS,1566874711,100,63.84,-22.43,50.0,20.8
99,Inhambane,0,MZ,1566874712,95,-23.87,35.38,61.63,4.32
100,Mehamn,100,NO,1566874254,91,71.03,27.85,47.23,5.55
101,Jamestown,13,AU,1566874714,52,-33.21,138.6,55.69,6.31
102,Upernavik,78,GL,1566874600,67,72.79,-56.15,39.13,9.04
103,Bambous Virieux,75,MU,1566874717,56,-20.34,57.76,71.01,10.29
104,Thompson,90,CA,1566874088,93,55.74,-97.86,48.2,18.34
105,Huarmey,0,PE,1566874647,91,-10.07,-78.15,58.57,13.02
106,Hamilton,75,CA,1566874720,82,43.26,-79.87,71.6,4.7
107,Saravan,0,AM,1566874721,32,39.72,45.65,69.8,9.17
108,Smidovich,100,RU,1566874722,77,48.6,133.81,71.35,9.46
109,Albany,1,US,1566874109,82,42.65,-73.75,63.0,3.36
110,Busselton,27,AU,1566874725,38,-33.64,115.35,68.0,14.63
111,Trairi,29,BR,1566874726,89,-3.28,-39.27,72.25,5.26
112,Oktyabrskiy,40,RU,1566874727,77,55.61,37.97,64.0,6.71
113,Melfi,5,IT,1566874728,94,41.0,15.66,71.6,8.05
114,Nokia,96,FI,1566874730,94,61.48,23.51,55.0,1.77
115,Prince George,40,CA,1566874507,54,53.92,-122.75,59.0,6.93
116,Kodiak,1,US,1566874189,93,39.95,-94.76,70.0,3.36
117,Norman Wells,75,CA,1566874733,39,65.28,-126.83,66.2,5.82
118,Kinsale,75,IE,1566874734,93,51.71,-8.52,57.2,5.82
119,Vyshneve,0,UA,1566874736,93,50.39,30.37,57.2,1.81
120,Dandong,66,CN,1566874737,78,40.12,124.37,75.85,9.73
121,Gbarnga,100,LR,1566874738,99,7.0,-9.47,70.09,2.42
122,Fort-Shevchenko,0,KZ,1566874740,57,44.51,50.26,75.31,14.94
123,Ust-Ordynskiy,0,RU,1566874741,77,52.8,104.75,60.8,4.47
124,Port Hedland,26,AU,1566874742,21,-20.31,118.58,82.4,9.17
125,Rokytne,0,UA,1566874743,89,51.27,27.23,59.65,2.24
126,Umm Kaddadah,100,SD,1566874745,68,13.6,26.69,74.41,7.67
127,Shingu,75,JP,1566874242,83,33.72,135.99,78.8,4.7
128,Khatanga,100,RU,1566874747,94,71.98,102.47,55.87,5.75
129,Mackay,20,CA,1566874748,47,53.65,-115.58,59.0,9.17
130,Rock Sound,20,BS,1566874749,76,24.9,-76.2,84.67,3.85
131,Northview,40,US,1566874751,100,37.29,-93.0,75.99,4.7
132,Lae,40,PG,1566874752,62,-6.72,146.98,86.0,5.82
133,Taonan,0,CN,1566874753,43,45.34,122.78,75.99,3.0
134,Guymon,1,US,1566874754,65,36.68,-101.48,80.6,12.75
135,Nanortalik,46,GL,1566874090,75,60.14,-45.24,42.55,2.95
136,Kavaratti,90,IN,1566874757,88,10.57,72.64,78.8,17.05
137,Saint Anthony,1,US,1566874758,30,43.97,-111.68,71.6,6.93
138,Vila Franca do Campo,75,PT,1566874759,83,37.72,-25.43,71.01,3.36
139,Buchanan,75,LR,1566874761,94,5.88,-10.05,75.2,9.17
140,Yellowknife,75,CA,1566874411,66,62.45,-114.38,55.4,5.82
141,Barrow,100,AR,1566874576,85,-38.31,-60.23,52.81,6.67
142,Flagstaff,1,US,1566874638,31,35.2,-111.65,87.8,9.17
143,Port Elizabeth,1,US,1566874016,82,39.31,-74.98,69.01,5.82
144,Adre,100,TD,1566874766,85,13.47,22.2,68.65,3.47
145,Kaitangata,100,NZ,1566874767,50,-46.28,169.85,54.0,7.0
146,Rawson,0,AR,1566874769,43,-43.3,-65.11,45.79,11.18
147,Armizonskoye,100,RU,1566874770,89,55.95,67.67,47.41,14.81
148,Ilebo,55,CD,1566874771,88,-4.33,20.59,68.65,2.21
149,Avera,90,US,1566874772,88,33.19,-82.53,78.8,3.36
150,Changping,0,CN,1566874774,45,40.22,116.23,95.0,8.95
151,Puerto Ayora,22,EC,1566874598,91,-0.74,-90.35,71.01,5.01
152,Beringovskiy,100,RU,1566874776,64,63.05,179.32,54.97,10.31
153,Kenora,90,CA,1566874778,93,49.76,-94.48,60.8,4.7
154,Den Helder,0,NL,1566874779,88,52.96,4.76,71.01,5.82
155,Hithadhoo,63,MV,1566874207,75,-0.6,73.08,82.15,9.1
156,Mahebourg,75,MU,1566874209,56,-20.41,57.7,71.01,10.29
157,Mana,97,NG,1566874782,84,13.03,5.27,75.31,9.66
158,Faanui,29,PF,1566874208,70,-16.48,-151.75,78.91,9.53
